ID,Severity,Category,Claim,Evidence,Verdict,Impact
C-01,P0,Data/Provenance,"MoleculeNet CSV 与 2014 挑战赛训练库逐分子一致：7,823 行按 InChIKey 匹配成功、12 终点标签零冲突、B 是 A 的去重整理子集且标签忠实（data_audit.md §1/§5#3、research_plan.md §2 理由(a)、final_report.md §2 理由(a)、README、PROVENANCE.md §3）","scripts/audit_data.py L111 用 mn.join(ch, how='left') 按索引 join（TOX#### vs NCGC####，索引交集实测为 0），matched=joined['inchikey'].notna() 实为 CSV 自身可解析行数；results/interim/audit/cross_version_label_agreement.csv 12 终点 n_both_labeled 全部=0（空集上的零冲突）。审查人正确重算（仓库 loader，临时脚本）：按完整 InChIKey 仅 6,562/7,823 行匹配、8,565→82,565 个双方有标签对中 570 对冲突（369 个分子，NR-ER 163 对最差）；按 DSSTox_CID（TOX 编号数值）7,831/7,831 全匹配但 624 对冲突（408 个分子），且 CSV 在匹配化合物上比 SDF 每终点多约 1.7–2.0k 个标签、SDF-only 标签为 0",FAIL,"数据选择理由(a)失效（理由(b)社区口径、(c)校验和仍成立）；「零冲突/标签忠实」结论必须撤销并改写为量化部分一致（CID 全匹配、0.6–0.7% 标签冲突、16% InChIKey 结构表示分歧）；全部建模数字不受影响"
C-02,P1,Split/Methodology,"数据审计 §4 的分割分析（train 6,264/valid 783/test 776）描述的就是最终实验所用 scaffold 分割（data_audit.md §4；final_report.md §2 引用其泄漏/Tanimoto 数字）","splits.py 以 len(smiles_list) 为 cutoff 基数：audit_data.py L132 在含 8 个无效 SMILES 的 7,831 行上分割→6264/783/776；prepare_data.py 先过滤再在 7,823 行上分割→6258/782/783（审查人重现与 npz train_idx/valid_idx/test_idx 逐分子完全一致）。两分割 13 个分子分属不同子集（7 个 audit-valid→建模-test：TOX26168/26164/26166/27568/8008/8001/27781；6 个 audit-train→建模-valid：TOX26137/26640/26138/26648/4204/27341）。审查人在实际建模分割上重算：跨分割同 InChIKey 仍 1 例（=TOX4994/TOX6178）、Tanimoto 中位 0.4054/均值 0.4354/≥0.95:7/≥0.85:12，活性率结论亦同",FAIL,"泄漏/相似度审计对象与实验分割错位且从未披露；实质结论经验证可迁移，但报告必须显式记录口径差异或统一在 7,823 行上重跑审计"
C-03,P1,Data/Provenance,"8 行未匹配 = 8 个无效 SMILES，并非版本分歧（data_audit.md §1）","正确 InChIKey merge 下未匹配为 1,261 行（16.1%），其中 1,120 行在完整 InChIKey/首段 InChIKey/canonical SMILES 三种身份定义下均不匹配（携带 10,545 个标签）；8 个无效 SMILES 行按 DSSTox_CID 反而全部可匹配回 SDF",FAIL,"版本间结构标准化（质子化/互变异构/盐形式）差异被错误描述为不存在；数值匹配对中仅 83% 同时具有相同完整 InChIKey"
C-04,P2,Features,"对照特征 MACCS（167 bit）验证了特征选择：LogReg 0.737 vs 0.709 宏 ROC-AUC（final_report.md §4）","configs/experiments.yaml feature_check.C 固定 1.0（MACCS 未参与 C 网格），而 ECFP4 用网格最优 C=0.1（model_comparison.csv：0.7367 vs MACCS 0.7087）；同 C=1 时 ECFP4 0.7125 vs MACCS 0.7087，差距仅 0.0038",UNSUPPORTED,"特征选择方向可能成立但引用幅度（0.028）依赖调参不对称；需给 MACCS 同等 C 网格或改为同 C 比较"
C-05,P2,Interpretation,"最自信假阳性（甾体 TOX28569/TOX28690，AR 预测 0.999 但标注 inactive）更可能反映测定阈值/标注边界而非特征错误（final_report.md §9）","标签事实核实：TOX28569 valid 集 8 个有标签终点全 0；TOX28690 valid 集 NR-AR=0 且 NR-ER-LBD/SR-ATAD5/SR-MMP=1；预测 0.9999/0.9990 属实，Murcko scaffold 为典型甾体。仓库仅保留二值标签（无 AC50/曲线/测定质量），model error/label noise/assay threshold/biological ambiguity 四种解释不可分辨；TOX28569 为胆酸型甾体，缺乏典型 AR 药效团，「甾体必结合 AR」不必然适用",UNSUPPORTED,"结构性观察 SUPPORTED，但比较性归因应降格为 PLAUSIBLE HYPOTHESIS；「更可能」无比较性证据"
C-06,P2,Provenance,"原始库按结构去重为 8,041 个唯一 InChIKey，与 Huang et al. 2016 的挑战赛训练集 8,043 samples 对应/≈（data_audit.md §1、PROVENANCE.md §3）","审查人重算：解析成功的 11,761 样本上唯一完整 InChIKey=唯一 DSSTox_CID=唯一 canonical SMILES=8,041（排除 identity 定义导致 ±2）；从 SDF 原文提取 3 条 RDKit 不可解析记录（DSSTox_CID 28914×2 条、29072），计入后唯一 DSSTox_CID=8,043，恰好闭合 Huang 数字。仓库未做该分析",FAIL,"差异可由仓库自身数据完全解释但报告未解释；「对应」表述在写作时未经证实，应改写为明确口径（解析成功子集 8,041 vs 全文件 8,043）"
C-07,P2,Engineering,"environment/requirements.txt 完整冻结环境，按 README 复现指南可直接安装","requirements.txt L35 torch==2.13.0+cpu：本地版本号 +cpu 不存在于默认 PyPI；README 与 final_report 复现指南均未提供 --extra-index-url（pytorch CPU 源）或等价 pip 配置；裸 pip install -r environment/requirements.txt 将解析失败",FAIL,"环境冻结不自足；补 CPU index 说明或改用无本地版本号的锁定方式"
C-08,P2,Documentation,"环境：Python 3.11.9 / rdkit 2026.03.5 / scikit-learn 1.9.0 / LightGBM 4.7.0 / pandas 3.0.5 / numpy 2.4.1 / torch 2.13.0+cpu（final_report.md L109）","venv 实测与 requirements.txt 均为 numpy 2.4.6（审查命令 python -c import numpy…输出 2.4.6）；其余条目逐项核对一致（rdkit 2026.03.5 与 pip 名 2026.3.5 为同一版本规范化差异）",FAIL,"单处版本数字错误，修正为 2.4.6"
C-09,P3,Documentation,"原始库每测定有标签样本 7,167–9,362（data_audit.md §2）","results/interim/audit/challenge_task_summary.csv 实际范围 7,166（SR-ARE）–9,360（NR-AR），两端各差 1–2",FAIL,"笔误级文档修正"
C-10,P2,Testing,"tests/（35 用例）覆盖支撑研究核心主张","pytest 35 passed（6 个文件，覆盖 src/ 六模块）；scripts/ 全部零覆盖——P0 缺陷所在函数 audit_data.cross_version_agreement 恰无任何测试，且其输出 CSV 的 n_both_labeled=0 未触发任何告警",FAIL,"为跨版本比对等管线函数补测试：空匹配/零重叠索引应显式失败或告警"
C-11,P3,Reproducibility,"推理冒烟测试：磺胺苯并噻唑→AhR 1.00/ARE 0.99；睾酮→AR 0.999；阿司匹林→全部≈0（final_report.md §8）","仓库无冒烟输入/输出产物留存，所引分子 SMILES 未记录；审查人以 joblib 模型独立重放：阿司匹林全部终点 <0.01 属实、睾酮 NR-AR=1.0 属实、结构相近的苯并噻唑砜 AhR=0.73（与 1.00 不可比）",UNCERTAIN,"定性可信但原始数字不可验证；建议留存冒烟输入/输出文件"
C-12,P3,Methodology,"scaffold 分割逐行复刻 DeepChem ScaffoldSplitter、与 DeepChem 对该数据文件的默认一致（research_plan.md §3、final_report.md §2、README）","DeepChem 源码（references/sources.md S3）未随仓库快照；本审查受不联网约束无法独立比对；仓库内可验证的是算法自洽与确定性（两种输入下的分割均可精确重现）",UNCERTAIN,"外部等价性主张依赖未存档的外部代码；DeepChem 对无效 SMILES 的处理口径（过滤前后）亦未论证"
C-13,P3,Statistics,"random 分割敏感性 0.807±0.010（种子间）（final_report.md §8、README）","三个种子 [0.7959,0.8055,0.8205] 重训重算逐位一致；总体标准差 ddof=0 为 0.0101（与 0.010 吻合），样本标准差 ddof=1 为 0.0124",PASS,"数值可复现；建议注明标准差口径（ddof）"
C-14,P3,Documentation,"random 敏感性与 MoleculeNet 论文 random 口径强基线 ~0.82 的量级一致（final_report.md §8）","跨协议定性并置（不同数据版本与分割实现）；仓库自身 references/sources.md §3 明言 Huang/MoleculeNet 数字不可直接比较；MoleculeNet 文献数字本审查未验证（不联网）",UNCERTAIN,"定性措辞可接受，但应与自家比较纪律保持一致并显式标注"
C-15,P3,Documentation,"NR-ER 标签冲突重复对（TOX4994 test/TOX6178 valid）两侧预测均为 0（final_report.md §9）","test_predictions_ensemble.csv / valid_predictions_ensemble.csv 实测 NR-ER 预测 0.0251 / 0.00056，均远低于 0.5（inactive）",PASS,"结论正确；「均为 0」为约略表述（0.025 非严格 0）"
C-16,P3,Metrics,"冻结 test 宏 ROC-AUC 0.7003 / PR-AUC 0.3211 / BAcc 0.6024（12 终点等权宏平均）","由 results/final/test_predictions_ensemble.csv + npz Y 重算全部 12×3 指标与 test_metrics_ensemble.csv 最大偏差 8.3e-17（容差 1e-4）；宏值 0.700314/0.321138/0.602436；预测行序与 npz test_idx 一致；ensemble≡seed42（单种子）",PASS,"核心主张精确成立，机器精度复现"
C-17,P3,Reproducibility,"冻结管线端到端确定可复现（除明确种子外全流程确定性）","按 configs/final_model.json 重训 seed42 LGBM（18.6s）与保存 test 预测 max diff 1.1e-16；model_seed42.joblib 加载预测 bit 级一致；frozen_config.json==final_model.json；random 种子 0/1/2 重现 0.7959/0.8055/0.8205；LGBM 种子无关性实测 max diff=0.0",PASS,"确定性声称成立"
C-18,P3,Model/Selection,"模型/超参选择只看 valid；test 冻结后只跑一次","run_experiments.py 全部评估在 scaffold-valid（model_comparison.csv 10 行）；final_model.json 记录 criterion/runner_up；git：results/final 首次出现于 Stage 3；mtime：test 评测 18:10:17–18:10:18 单次突发，random 敏感性 18:11–18:12 在后，Stage 3 commit 18:16:25",PASS,"边界纪律声明与证据一致"
C-19,P3,Metrics,"指标实现：逐终点 NaN mask、单类终点 NaN、等权宏平均、BAcc 阈值 0.5","src/tox21_research/metrics.py 逐行审查 + 重算一致；全部 split 的 n_tasks_scored=12（无单类终点）；宏平均集合=ROC 定义的任务集合",PASS,"实现与文档声明一致"
C-20,P3,Features,"ECFP4=Morgan r=2/2048bit、MACCS=167bit，与被评测矩阵一致","npz X_ecfp4(7823×2048)/X_maccs(7823×167) 与从原始 CSV 全量重算 bit 级一致（np.array_equal=True）",PASS,"特征层主张成立"
C-21,P3,Data,"数据完整性：SHA-256 固定；8 个无效 SMILES（[AlH3] 型，82 标签）剔除；2 组重复 4 行、1 个 NR-ER 冲突；npz 标签=CSV","csv.gz sha256 实测=45d0979249…d360（与 PROVENANCE 一致）；8 个无效 SMILES 全含 [AlH3] 且携带 82 标签（实测）；重复组/冲突重算一致；npz Y 与过滤后 CSV 逐值一致",PASS,"数据层基础主张成立"
C-22,P3,Leakage,"scaffold 分割干净：跨分割同结构仅 1 例，test→train 最近邻 Tanimoto 中位 0.405","审查人在实际建模分割（非审计分割）上重算：跨分割同 InChIKey 1 例（即 TOX4994/TOX6178 冲突对）、中位 0.4054、均值 0.4354、≥0.95:7、≥0.85:12",PASS,"结论在真实实验分割上成立（数字源自审计分割，见 C-02 口径问题）"
C-23,P3,Protocol,"挑战赛式外部评测不可复现：排行榜/最终评测集与训练库关系如报告所述","重算：排行榜 296 个（3,130 标签细胞）与训练库/CSV 零重叠；最终评测集解析 645 个、0 标签；647 文件与训练库/CSV 重叠 7/6",PASS,"协议排除外部评测的事实基础成立"
C-24,P3,Documentation,"final_report §5–§9 与 README 的全部结果数字与 commit 内结果文件一致","逐数核对：§5 选型表 10 行、§6 0.0009/0.0281、§7 36 个终点数字、§8 -0.0373/0.8073/约0.10、§9 -0.1357/27 活性/0.099/33 活性/r=-0.04 全部与 model_comparison.csv、test_metrics_ensemble.csv、random_split_sensitivity.csv、valid_task_metrics.csv 一致（除 C-01/C-08/C-09 所列主张外）",PASS,"文档-结果一致性（除已单列的错误主张外）成立"
C-25,P3,Model,"random vs scaffold 对照同数据/同特征/同超参/同预算，无针对 random 的调参","random_split_check.py 复用同一 npz 与冻结 spec；LGBM 种子无关（实测），split 种子=模型种子不构成混淆；run_experiments 不涉及 random",PASS,"对照实验内部效度成立（外部效度保留见 C-29）"
C-26,P3,Engineering,"35 个单元测试全部通过","pytest tests/ -q → 35 passed（6 个文件）",PASS,"与文档「35 个单元测试」一致"
